date,year,month_num,month,sunshine_hours
1921-09-01,1921,9,Sep,172.0
1921-10-01,1921,10,Oct,148.2
1921-11-01,1921,11,Nov,70.3
1921-12-01,1921,12,Dec,42.1
1922-01-01,1922,1,Jan,36.2
1922-02-01,1922,2,Feb,102.2
1922-03-01,1922,3,Mar,102.9
1922-04-01,1922,4,Apr,167.0
1922-05-01,1922,5,May,276.6
1922-06-01,1922,6,Jun,227.5
1922-07-01,1922,7,Jul,149.0
1922-08-01,1922,8,Aug,147.8
1922-09-01,1922,9,Sep,128.6
1922-10-01,1922,10,Oct,134.7
1922-11-01,1922,11,Nov,56.0
1922-12-01,1922,12,Dec,47.4
1923-01-01,1923,1,Jan,61.7
1923-02-01,1923,2,Feb,57.4
1923-03-01,1923,3,Mar,100.5
1923-04-01,1923,4,Apr,146.3
1923-05-01,1923,5,May,152.7
1923-06-01,1923,6,Jun,130.5
1923-07-01,1923,7,Jul,225.4
1923-08-01,1923,8,Aug,245.1
1923-09-01,1923,9,Sep,183.8
1923-10-01,1923,10,Oct,92.6
1923-11-01,1923,11,Nov,93.0
1923-12-01,1923,12,Dec,37.5
1924-01-01,1924,1,Jan,59.4
1924-02-01,1924,2,Feb,45.9
1924-03-01,1924,3,Mar,168.2
1924-04-01,1924,4,Apr,148.1
1924-05-01,1924,5,May,183.5
1924-06-01,1924,6,Jun,197.6
1924-07-01,1924,7,Jul,236.0
1924-08-01,1924,8,Aug,163.1
1924-09-01,1924,9,Sep,120.4
1924-10-01,1924,10,Oct,94.4
1924-11-01,1924,11,Nov,44.8
1924-12-01,1924,12,Dec,47.9
1925-01-01,1925,1,Jan,53.5
1925-02-01,1925,2,Feb,68.7
1925-03-01,1925,3,Mar,90.4
1925-04-01,1925,4,Apr,136.9
1925-05-01,1925,5,May,220.9
1925-06-01,1925,6,Jun,250.3
1925-07-01,1925,7,Jul,192.4
1925-08-01,1925,8,Aug,147.3
1925-09-01,1925,9,Sep,118.6
1925-10-01,1925,10,Oct,102.6
1925-11-01,1925,11,Nov,83.1
1925-12-01,1925,12,Dec,59.9
1926-01-01,1926,1,Jan,48.3
1926-02-01,1926,2,Feb,45.7
1926-03-01,1926,3,Mar,121.3
1926-04-01,1926,4,Apr,111.4
1926-05-01,1926,5,May,179.1
1926-06-01,1926,6,Jun,182.3
1926-07-01,1926,7,Jul,184.9
1926-08-01,1926,8,Aug,204.9
1926-09-01,1926,9,Sep,142.4
1926-10-01,1926,10,Oct,113.8
1926-11-01,1926,11,Nov,45.5
1926-12-01,1926,12,Dec,56.6
1927-01-01,1927,1,Jan,56.9
1927-02-01,1927,2,Feb,50.0
1927-03-01,1927,3,Mar,126.6
1927-04-01,1927,4,Apr,167.7
1927-05-01,1927,5,May,214.1
1927-06-01,1927,6,Jun,178.7
1927-07-01,1927,7,Jul,139.1
1927-08-01,1927,8,Aug,181.6
1927-09-01,1927,9,Sep,109.3
1927-10-01,1927,10,Oct,101.4
1927-11-01,1927,11,Nov,56.4
1927-12-01,1927,12,Dec,33.1
1928-01-01,1928,1,Jan,61.6
1928-02-01,1928,2,Feb,96.1
1928-03-01,1928,3,Mar,99.8
1928-04-01,1928,4,Apr,133.0
1928-05-01,1928,5,May,168.3
1928-06-01,1928,6,Jun,222.3
1928-07-01,1928,7,Jul,277.5
1928-08-01,1928,8,Aug,192.4
1928-09-01,1928,9,Sep,209.7
1928-10-01,1928,10,Oct,119.0
1928-11-01,1928,11,Nov,66.7
1928-12-01,1928,12,Dec,51.8
1929-01-01,1929,1,Jan,37.8
1929-02-01,1929,2,Feb,56.7
1929-03-01,1929,3,Mar,165.7
1929-04-01,1929,4,Apr,148.2
1929-05-01,1929,5,May,245.2
1929-06-01,1929,6,Jun,197.5
1929-07-01,1929,7,Jul,238.4
1929-08-01,1929,8,Aug,184.5
1929-09-01,1929,9,Sep,192.0
1929-10-01,1929,10,Oct,118.8
1929-11-01,1929,11,Nov,65.0
1929-12-01,1929,12,Dec,66.8
1930-01-01,1930,1,Jan,55.6
1930-02-01,1930,2,Feb,60.7
1930-03-01,1930,3,Mar,129.9
1930-04-01,1930,4,Apr,118.3
1930-05-01,1930,5,May,166.2
1930-06-01,1930,6,Jun,231.6
1930-07-01,1930,7,Jul,172.8
1930-08-01,1930,8,Aug,220.5
1930-09-01,1930,9,Sep,124.7
1930-10-01,1930,10,Oct,137.4
1930-11-01,1930,11,Nov,72.7
1930-12-01,1930,12,Dec,32.3
1931-01-01,1931,1,Jan,60.7
1931-02-01,1931,2,Feb,55.9
1931-03-01,1931,3,Mar,169.4
1931-04-01,1931,4,Apr,119.7
1931-05-01,1931,5,May,173.7
1931-06-01,1931,6,Jun,191.3
1931-07-01,1931,7,Jul,156.7
1931-08-01,1931,8,Aug,158.0
1931-09-01,1931,9,Sep,113.0
1931-10-01,1931,10,Oct,123.3
1931-11-01,1931,11,Nov,57.9
1931-12-01,1931,12,Dec,39.8
1932-01-01,1932,1,Jan,51.1
1932-02-01,1932,2,Feb,64.6
1932-03-01,1932,3,Mar,134.4
1932-04-01,1932,4,Apr,126.0
1932-05-01,1932,5,May,116.1
1932-06-01,1932,6,Jun,194.1
1932-07-01,1932,7,Jul,144.0
1932-08-01,1932,8,Aug,185.4
1932-09-01,1932,9,Sep,116.0
1932-10-01,1932,10,Oct,85.6
1932-11-01,1932,11,Nov,43.0
1932-12-01,1932,12,Dec,53.8
1933-01-01,1933,1,Jan,63.5
1933-02-01,1933,2,Feb,87.5
1933-03-01,1933,3,Mar,185.0
1933-04-01,1933,4,Apr,154.0
1933-05-01,1933,5,May,167.3
1933-06-01,1933,6,Jun,235.4
1933-07-01,1933,7,Jul,238.4
1933-08-01,1933,8,Aug,243.7
1933-09-01,1933,9,Sep,180.4
1933-10-01,1933,10,Oct,97.5
1933-11-01,1933,11,Nov,44.5
1933-12-01,1933,12,Dec,42.1
1934-01-01,1934,1,Jan,56.7
1934-02-01,1934,2,Feb,99.7
1934-03-01,1934,3,Mar,118.6
1934-04-01,1934,4,Apr,122.8
1934-05-01,1934,5,May,207.2
1934-06-01,1934,6,Jun,195.9
1934-07-01,1934,7,Jul,268.4
1934-08-01,1934,8,Aug,186.6
1934-09-01,1934,9,Sep,185.0
1934-10-01,1934,10,Oct,94.0
1934-11-01,1934,11,Nov,43.0
1934-12-01,1934,12,Dec,21.9
1935-01-01,1935,1,Jan,49.9
1935-02-01,1935,2,Feb,54.8
1935-03-01,1935,3,Mar,126.0
1935-04-01,1935,4,Apr,134.1
1935-05-01,1935,5,May,230.0
1935-06-01,1935,6,Jun,218.6
1935-07-01,1935,7,Jul,285.6
1935-08-01,1935,8,Aug,211.2
1935-09-01,1935,9,Sep,154.0
1935-10-01,1935,10,Oct,112.3
1935-11-01,1935,11,Nov,57.9
1935-12-01,1935,12,Dec,39.0
1936-01-01,1936,1,Jan,44.3
