Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
30,tt3640424,2020-02-16,2020-02-16,,"Allied","Allied",https://www.imdb.com/title/tt3640424/,Movie,7.1,124,2016,"Action, Drama, Romance, Thriller, War",181558,2016-11-25,"Robert Zemeckis"
31,tt0349903,2020-02-16,2020-02-16,,"Ocean's Twelve","Ocean's Twelve",https://www.imdb.com/title/tt0349903/,Movie,6.5,125,2004,"Crime, Thriller",441481,2005-02-04,"Steven Soderbergh"
32,tt12593682,2023-05-16,2023-05-16,,"Bullet Train","Bullet Train",https://www.imdb.com/title/tt12593682/,Movie,7.3,127,2022,"Action, Comedy, Thriller",547048,2022-08-03,"David Leitch"
33,tt0332452,2020-02-16,2020-02-16,,"Troy","Troy",https://www.imdb.com/title/tt0332452/,Movie,7.3,163,2004,"Action, Adventure",648135,2004-05-21,"Wolfgang Petersen"
34,tt1764234,2020-02-16,2020-02-16,,"Killing Them Softly","Killing Them Softly",https://www.imdb.com/title/tt1764234/,Movie,6.2,97,2012,"Crime, Drama, Thriller",161691,2012-09-21,"Andrew Dominik"
35,tt0120102,2020-02-16,2020-02-16,,"Seven Years in Tibet","Seven Years in Tibet",https://www.imdb.com/title/tt0120102/,Movie,7.1,136,1997,"Adventure, Biography, Drama, History, War",169973,1997-11-21,"Jean-Jacques Annaud"
36,tt14257582,2025-06-01,2025-06-01,,"Wolfs","Wolfs",https://www.imdb.com/title/tt14257582/,Movie,6.5,108,2024,"Action, Comedy, Crime, Thriller",107632,2024-09-27,"Jon Watts"
37,tt13320622,2023-05-16,2023-05-16,,"The Lost City","The Lost City",https://www.imdb.com/title/tt13320622/,Movie,6.1,112,2022,"Action, Adventure, Comedy, Romance",179284,2022-04-15,"Aaron Nee, Adam Nee"
38,tt0119643,2020-02-16,2020-02-16,,"Meet Joe Black","Meet Joe Black",https://www.imdb.com/title/tt0119643/,Movie,7.2,178,1998,"Drama, Fantasy, Romance",303245,1999-01-15,"Martin Brest"
39,tt0356910,2020-02-16,2020-02-16,,"Mr. & Mrs. Smith","Mr. & Mrs. Smith",https://www.imdb.com/title/tt0356910/,Movie,6.5,120,2005,"Action, Comedy, Crime, Thriller",601839,2005-06-10,"Doug Liman"
40,tt0107302,2020-02-16,2020-02-16,,"Kalifornia","Kalifornia",https://www.imdb.com/title/tt0107302/,Movie,6.7,117,1993,"Crime, Drama, Thriller",63360,1994-04-01,"Dominic Sena"
41,tt0165982,2020-02-16,2020-02-16,,"Sinbad: Legend of the Seven Seas","Sinbad: Legend of the Seven Seas",https://www.imdb.com/title/tt0165982/,Movie,6.8,88,2003,"Animation, Adventure, Comedy, Family, Fantasy",65013,2003-07-25,"Patrick Gilmore, Tim Johnson"
42,tt0118972,2020-02-16,2020-02-16,,"The Devil's Own","The Devil's Own",https://www.imdb.com/title/tt0118972/,Movie,6.2,111,1997,"Action, Crime, Drama, Thriller",78810,1997-06-20,"Alan J. Pakula"
43,tt1402488,2020-02-16,2020-02-16,,"Happy Feet Two","Happy Feet Two",https://www.imdb.com/title/tt1402488/,Movie,5.8,100,2011,"Animation, Adventure, Comedy, Family, Musical, Romance",51448,2011-12-02,"George Miller, Gary Eck, David Peers"
44,tt4758646,2020-02-16,2020-02-16,,"War Machine","War Machine",https://www.imdb.com/title/tt4758646/,Movie,6.0,122,2017,"Comedy, Drama, War",53615,2017-05-26,"David Michôd"
45,tt0236493,2020-02-16,2020-02-16,,"The Mexican","The Mexican",https://www.imdb.com/title/tt0236493/,Movie,6.1,123,2001,"Adventure, Comedy, Drama, Romance",122190,2001-04-27,"Gore Verbinski"
46,tt0104567,2020-02-16,2020-02-16,,"Johnny Suede","Johnny Suede",https://www.imdb.com/title/tt0104567/,Movie,5.7,97,1991,"Comedy, Drama, Music, Romance",4760,1992-06-12,"Tom DiCillo"
47,tt0109783,2020-02-16,2020-02-16,,"The Favour","The Favor",https://www.imdb.com/title/tt0109783/,Movie,5.2,97,1994,"Comedy, Romance",3558,1994-04-29,"Donald Petrie"
48,tt2193215,2020-02-16,2020-02-16,,"The Counsellor","The Counselor",https://www.imdb.com/title/tt2193215/,Movie,5.4,117,2013,"Action, Adventure, Crime, Drama, Mystery, Thriller",110756,2013-11-15,"Ridley Scott"
49,tt0097478,2020-02-16,2020-02-16,,"Happy Together","Happy Together",https://www.imdb.com/title/tt0097478/,Movie,5.8,102,1989,"Comedy, Romance",2156,1989-12-10,"Mel Damski"
50,tt3707106,2020-02-16,2020-02-16,,"By the Sea","By the Sea",https://www.imdb.com/title/tt3707106/,Movie,5.3,122,2015,"Drama, Romance",23860,2015-12-11,"Angelina Jolie"
51,tt0104009,2020-02-16,2020-02-16,,"Cool World","Cool World",https://www.imdb.com/title/tt0104009/,Movie,4.9,102,1992,"Animation, Comedy, Fantasy",27196,1992-12-18,"Ralph Bakshi"
52,tt0118930,2020-02-16,2020-02-16,,"The Dark Side of the Sun","The Dark Side of the Sun",https://www.imdb.com/title/tt0118930/,Movie,5.4,101,1988,"Drama, Romance",3959,1988-12-21,"Bozidar 'Bota' Nikolic"
53,tt0101268,2020-02-16,2020-02-16,,"Across the Tracks","Across the Tracks",https://www.imdb.com/title/tt0101268/,Movie,5.8,100,1990,"Drama, Sport",3047,1991-02-15,"Sandy Tung"
54,tt0097136,2020-02-16,2020-02-16,,"Cutting Class","Cutting Class",https://www.imdb.com/title/tt0097136/,Movie,4.6,91,1989,"Comedy, Crime, Horror, Mystery, Thriller",7263,1992-02-07,"Rospo Pallenberg"
