Distillery,Region,Approachable_Index,Peat_Index,Sweetness,Fruity,Honey,Smoky,Medicinal
GlenScotia,Campbeltown,4,4,2,1,1,2,2
Springbank,Campbeltown,4,4,2,0,2,2,2
