Distillery,Region,Approachable_Index,Peat_Index,Sweetness,Fruity,Honey,Smoky,Medicinal
ArranIsleOf,Islands,5,2,3,1,1,1,1
Highland Park,Islands,5,4,2,1,2,3,1
Isle of Jura,Islands,3,4,1,1,1,2,2
OldPulteney,Islands,3,4,1,2,0,2,2
Scapa,Islands,6,2,2,2,2,1,1
Talisker,Islands,5,6,2,2,1,3,3
Tobermory,Islands,4,1,1,2,1,1,0
