Distillery,Region,Approachable_Index,Peat_Index,Sweetness,Fruity,Honey,Smoky,Medicinal
Auchentoshan,Lowlands,6,0,2,3,1,0,0
Bladnoch,Lowlands,4,1,2,2,0,1,0
Glenkinchie,Lowlands,5,1,2,2,1,1,0
