RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude,Peat_Index,Dessert_Index,Total_Intensity,Complexity,Islay_Flag,Region,Sweetness_Jitter,Smoky_Jitter
63,Macallan,4,3,1,0,0,2,1,4,2,2,3,1,AB38 9RX,327710,844480,1,8,23,1.378954368902449,False,Speyside,3.016961387685109,0.9841169796793121
64,Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2,IV30 3SS,322640,861040,1,4,14,0.7177405625652734,False,Highlands,1.0688997029281666,0.8756191407688859
65,Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2,IV30 3TQ,322640,861040,1,6,14,1.1934162828797101,False,Highlands,4.035026763200154,1.084835900290533
66,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2,AB55 4AQ,332950,839850,2,6,22,1.0298573010888745,False,Speyside,2.013930644171079,2.1030018006783395
67,Oban,2,2,2,2,0,0,2,0,2,2,2,0,PA34 5NH,185940,730190,4,4,16,0.9847319278346619,False,Highlands,2.0153938617938074,1.9064647631396388
68,OldFettercairn,1,2,2,0,1,2,2,1,2,3,1,1,AB30 1YE,370860,772900,3,5,18,0.7977240352174656,False,Highlands,1.9490270254962792,2.0140493973201528
69,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2,KW1 5BA,336730,950130,5,3,18,0.674199862463242,False,Islands,0.8780126369876642,1.8982296926952154
70,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2,IV12 5QY,286040,851320,4,7,20,0.8876253645985945,False,Highlands,2.9835465212004144,2.044782424190351
71,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1,AB35 5TB,326140,794370,2,7,21,0.9653072991634227,False,Highlands,1.9257920149330776,1.9431207837981421
72,Scapa,2,2,1,1,0,2,1,1,2,2,2,2,KW15 1SE,342850,1008930,2,6,18,0.674199862463242,False,Islands,1.9762174473684053,1.0414498850198946
73,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2,AB38 7AG,326930,851430,1,7,15,1.2154310870109943,False,Speyside,4.091884799049724,1.0590185997145896
74,Speyside,2,2,1,0,0,1,0,1,2,2,2,2,PH21 1NS,278740,800600,1,5,15,0.8660254037844386,False,Highlands,1.9308242663249886,1.0698483478985907
75,Springbank,2,2,2,2,0,2,2,1,2,1,0,1,PA28 6EJ,172280,620910,4,4,17,0.7929614610987591,False,Campbeltown,1.8851587128391571,1.8980126459485331
76,Strathisla,2,2,1,0,0,2,2,2,3,3,3,2,AB55 3BS,340754,848623,1,7,22,1.0298573010888745,False,Speyside,1.9431598119257192,1.108163079735778
77,Strathmill,2,3,1,0,0,0,2,0,2,1,3,2,AB55 5DQ,342650,850500,1,6,16,1.1547005383792517,False,Highlands,2.9463343770193378,0.929855637632669
78,Talisker,4,2,3,3,0,1,3,0,1,2,2,0,IV47 8SR,137950,831770,6,5,21,1.3568010505999362,False,Islands,2.042098293828993,2.8797272646058065
79,Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2,AB38 7RP,319210,841760,1,6,14,0.834847109936722,False,Speyside,2.014828359608732,1.0142616420417856
80,Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3,AB37 9JA,321180,826110,2,5,16,1.1547005383792517,False,Highlands,3.0738135343676674,1.9664397938042342
81,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2,IV17 0XB,265360,869120,3,4,13,0.996204919895622,False,Highlands,2.0427215204851206,2.0857453332144273
82,Tobermory,1,1,1,0,0,1,0,0,1,2,2,2,PA75 6NR,150450,755070,1,4,11,0.7929614610987591,False,Islands,0.9756605839744183,1.0801453827367185
83,Tomatin,2,3,2,0,0,2,2,1,1,2,0,1,IV13 7YT,279120,829630,2,5,16,0.9847319278346618,False,Highlands,3.081645300013169,1.952456112133906
84,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2,AB37 9AQ,315100,825560,1,6,15,0.9653072991634227,False,Speyside,2.913412959176003,1.1177538427181337
85,Tormore,2,2,1,0,0,1,0,1,2,1,0,0,PH26 3LR,315180,834960,1,3,10,0.8348471099367218,False,Highlands,1.8759051390148036,0.9456386379164309
86,Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1,PH4 1QG,289690,708850,1,5,15,0.9653072991634227,False,Highlands,2.893412443801667,0.003914853600245793
