Distillery,Region,Approachable_Index,Peat_Index,Sweetness,Fruity,Honey,Smoky,Medicinal
Ardbeg,Islay,2,8,1,1,0,4,4
Bowmore,Islay,5,4,2,1,2,3,1
Bruichladdich,Islay,5,4,1,2,2,2,2
Bunnahabhain,Islay,5,2,2,2,1,1,1
Caol Ila,Islay,2,6,1,1,0,4,2
Lagavulin,Islay,2,8,1,1,0,4,4
Laphroig,Islay,2,8,2,0,0,4,4
